model_id,model_name,model_family,interval_strategy,fuzzy_order,interval_count,parameter_setting,forecast_target,correction_weight,anchor_model_id,is_evaluation_high_volatility,mae,rmse,smape,mase,forecast_count
chen_change_equal_k11_w100,Chen FTS Absolute Change Correction Equal Intervals k=11 w100,fuzzy_time_series,equal_length,1.0,11.0,forecast_target=absolute_change;k=11;correction_weight=1;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,absolute_change,1.0,baseline_naive,True,0.08593033064444443,0.09736691926711528,21.712651411069206,2.7087441433628885,9
chen_pct_change_equal_k11_w100,Chen FTS Percentage Change Correction Equal Intervals k=11 w100,fuzzy_time_series,equal_length,1.0,11.0,forecast_target=percentage_change;k=11;correction_weight=1;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,percentage_change,1.0,baseline_naive,True,0.0960099164294432,0.11286533933385678,24.383883472325543,3.061721686420152,9
baseline_mean,Mean,baseline,none,,,expanding_window_mean,yield_level,,,True,0.10150953049826367,0.12568850527853193,28.277003734279393,3.19687186462747,9
baseline_drift,Drift,baseline,none,,,one_step_linear_drift,yield_level,,,False,0.01624485195337237,0.0228348733195024,3.9648308445768543,0.49300970444554765,25
baseline_naive,Naive,baseline,none,,,previous_observation,yield_level,,,False,0.016332004799999994,0.022340632911374732,3.949622425430476,0.49924754716503295,25
chen_change_equal_k7_w050,Chen FTS Absolute Change Correction Equal Intervals k=7 w050,fuzzy_time_series,equal_length,1.0,7.0,forecast_target=absolute_change;k=7;correction_weight=0.5;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,absolute_change,0.5,baseline_naive,False,0.016713266753583526,0.021990698596017655,4.3050123485412275,0.5083852241206589,25
chen_change_equal_k5_w050,Chen FTS Absolute Change Correction Equal Intervals k=5 w050,fuzzy_time_series,equal_length,1.0,5.0,forecast_target=absolute_change;k=5;correction_weight=0.5;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,absolute_change,0.5,baseline_naive,False,0.01675591666506551,0.0228520737253669,4.223924701748452,0.5095511032320448,25
chen_change_adaptive_k9_w050,Chen FTS Absolute Change Correction Adaptive Intervals k=9 w050,fuzzy_time_series,adaptive_quantile,1.0,9.0,forecast_target=absolute_change;k=9;correction_weight=0.5;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,absolute_change,0.5,baseline_naive,False,0.017002206495370365,0.022036564797019223,4.330481801750004,0.5189604004499742,25
chen_change_equal_k5_w100,Chen FTS Absolute Change Correction Equal Intervals k=5 w100,fuzzy_time_series,equal_length,1.0,5.0,forecast_target=absolute_change;k=5;correction_weight=1;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,absolute_change,1.0,baseline_naive,False,0.0175716420511649,0.02538088995120311,4.570988369488195,0.5317076351498303,25
chen_pct_change_adaptive_k9_w050,Chen FTS Percentage Change Correction Adaptive Intervals k=9 w050,fuzzy_time_series,adaptive_quantile,1.0,9.0,forecast_target=percentage_change;k=9;correction_weight=0.5;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,percentage_change,0.5,baseline_naive,False,0.0176645262189462,0.02294854136295079,4.435890905122495,0.5359141115107311,25
