initial_training_observations,evaluation_view,model_id,model_name,model_family,interval_strategy,fuzzy_order,interval_count,parameter_setting,forecast_target,correction_weight,anchor_model_id,mae,rmse,smape,mase,forecast_count,mae_rank,rmse_rank,smape_rank,mase_rank
25,normal_volatility,baseline_drift,Drift,baseline,none,,,one_step_linear_drift,yield_level,,,0.01707487040131703,0.023672735864533136,4.5274572966356805,0.5310479574996193,29,2,7,2,2
25,normal_volatility,chen_change_equal_k7_w050,Chen FTS Absolute Change Correction Equal Intervals k=7 w050,fuzzy_time_series,equal_length,1.0,7.0,forecast_target=absolute_change;k=7;correction_weight=0.5;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,absolute_change,0.5,baseline_naive,0.017271093986997294,0.022492446755409602,4.770431243793718,0.5385330298049262,29,3,1,3,3
25,normal_volatility,chen_change_equal_k5_w050,Chen FTS Absolute Change Correction Equal Intervals k=5 w050,fuzzy_time_series,equal_length,1.0,5.0,forecast_target=absolute_change;k=5;correction_weight=0.5;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,absolute_change,0.5,baseline_naive,0.01745042091815992,0.023398330450173435,4.771026264594658,0.545583823471256,29,4,6,4,4
25,normal_volatility,chen_change_adaptive_k9_w050,Chen FTS Absolute Change Correction Adaptive Intervals k=9 w050,fuzzy_time_series,adaptive_quantile,1.0,9.0,forecast_target=absolute_change;k=9;correction_weight=0.5;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,absolute_change,0.5,baseline_naive,0.01779878722302043,0.02296500226483726,4.935314070972749,0.5595646818163782,29,5,2,5,5
25,normal_volatility,chen_change_equal_k5_w100,Chen FTS Absolute Change Correction Equal Intervals k=5 w100,fuzzy_time_series,equal_length,1.0,5.0,forecast_target=absolute_change;k=5;correction_weight=1;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,absolute_change,1.0,baseline_naive,0.01828688280272836,0.02556839185923874,5.148384723404764,0.5714976227969429,29,6,15,10,6
25,normal_volatility,chen_pct_change_adaptive_k9_w050,Chen FTS Percentage Change Correction Adaptive Intervals k=9 w050,fuzzy_time_series,adaptive_quantile,1.0,9.0,forecast_target=percentage_change;k=9;correction_weight=0.5;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,percentage_change,0.5,baseline_naive,0.01838812465920908,0.02332331970309239,5.009164139028257,0.5757149588791661,29,7,5,6,8
25,normal_volatility,chen_pct_change_equal_k5_w050,Chen FTS Percentage Change Correction Equal Intervals k=5 w050,fuzzy_time_series,equal_length,1.0,5.0,forecast_target=percentage_change;k=5;correction_weight=0.5;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,percentage_change,0.5,baseline_naive,0.018572763387932935,0.025043814512688535,5.020693007621065,0.5742444105938376,29,8,10,7,7
25,normal_volatility,chen_pct_change_equal_k7_w050,Chen FTS Percentage Change Correction Equal Intervals k=7 w050,fuzzy_time_series,equal_length,1.0,7.0,forecast_target=percentage_change;k=7;correction_weight=0.5;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,percentage_change,0.5,baseline_naive,0.018688461695421793,0.02543061425243186,5.11241936500046,0.5798550557857207,29,9,14,8,9
25,normal_volatility,chen_pct_change_adaptive_k5_w050,Chen FTS Percentage Change Correction Adaptive Intervals k=5 w050,fuzzy_time_series,adaptive_quantile,1.0,5.0,forecast_target=percentage_change;k=5;correction_weight=0.5;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,percentage_change,0.5,baseline_naive,0.018836732304521424,0.02449683071608121,5.213424662672535,0.5901967375342823,29,10,9,12,10
25,normal_volatility,chen_change_adaptive_k11_w050,Chen FTS Absolute Change Correction Adaptive Intervals k=11 w050,fuzzy_time_series,adaptive_quantile,1.0,11.0,forecast_target=absolute_change;k=11;correction_weight=0.5;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,absolute_change,0.5,baseline_naive,0.018933897714472313,0.023044826694908184,5.164239342660458,0.5958141499936453,29,11,4,11,11
25,normal_volatility,chen_pct_change_equal_k9_w050,Chen FTS Percentage Change Correction Equal Intervals k=9 w050,fuzzy_time_series,equal_length,1.0,9.0,forecast_target=percentage_change;k=9;correction_weight=0.5;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,percentage_change,0.5,baseline_naive,0.019202132995693403,0.02539642442679757,5.261287507572559,0.6016891139416835,29,12,13,13,13
25,normal_volatility,chen_change_equal_k7_w100,Chen FTS Absolute Change Correction Equal Intervals k=7 w100,fuzzy_time_series,equal_length,1.0,7.0,forecast_target=absolute_change;k=7;correction_weight=1;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,absolute_change,1.0,baseline_naive,0.019480117284339397,0.02736588837844765,5.413609532423105,0.6013959969354358,29,13,22,15,12
25,normal_volatility,chen_change_adaptive_k7_w050,Chen FTS Absolute Change Correction Adaptive Intervals k=7 w050,fuzzy_time_series,adaptive_quantile,1.0,7.0,forecast_target=absolute_change;k=7;correction_weight=0.5;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,absolute_change,0.5,baseline_naive,0.01983344907150187,0.025138946482200136,5.539521743178998,0.627928162007948,29,14,12,17,15
25,normal_volatility,chen_pct_change_adaptive_k11_w050,Chen FTS Percentage Change Correction Adaptive Intervals k=11 w050,fuzzy_time_series,adaptive_quantile,1.0,11.0,forecast_target=percentage_change;k=11;correction_weight=0.5;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,percentage_change,0.5,baseline_naive,0.019990852521822,0.026360063250724982,5.665180635557039,0.62929103580271,29,15,19,20,17
25,normal_volatility,chen_equal_k5,Chen FTS Equal Intervals k=5,fuzzy_time_series,equal_length,1.0,5.0,k=5;margin_fraction=0.05;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,yield_level,,,0.02010672672395226,0.02377021686468199,5.117623265968193,0.6277679699673397,29,16,8,9,14
25,normal_volatility,chen_change_equal_k9_w050,Chen FTS Absolute Change Correction Equal Intervals k=9 w050,fuzzy_time_series,equal_length,1.0,9.0,forecast_target=absolute_change;k=9;correction_weight=0.5;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,absolute_change,0.5,baseline_naive,0.020239388562519146,0.027273408406406963,5.339996298614161,0.6287313388945306,29,17,21,14,16
25,normal_volatility,chen_change_adaptive_k9_w100,Chen FTS Absolute Change Correction Adaptive Intervals k=9 w100,fuzzy_time_series,adaptive_quantile,1.0,9.0,forecast_target=absolute_change;k=9;correction_weight=1;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,absolute_change,1.0,baseline_naive,0.020321635649106003,0.027216111180117148,5.749187258306974,0.6405886462141922,29,18,20,22,18
25,normal_volatility,baseline_arima_aic,ARIMA-AIC,baseline,none,,,aic_grid_p0-2_d0-1_q0-2,yield_level,,,0.020722592357547108,0.025610080804502014,5.474107328901276,0.6542476005164717,29,19,16,16,21
25,normal_volatility,chen_pct_change_adaptive_k7_w050,Chen FTS Percentage Change Correction Adaptive Intervals k=7 w050,fuzzy_time_series,adaptive_quantile,1.0,7.0,forecast_target=percentage_change;k=7;correction_weight=0.5;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,percentage_change,0.5,baseline_naive,0.020820023596162775,0.02594473861128461,5.703099692263148,0.654013100625524,29,20,17,21,20
25,normal_volatility,chen_change_adaptive_k5_w050,Chen FTS Absolute Change Correction Adaptive Intervals k=5 w050,fuzzy_time_series,adaptive_quantile,1.0,5.0,forecast_target=absolute_change;k=5;correction_weight=0.5;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,absolute_change,0.5,baseline_naive,0.020836839833255575,0.02506789457557334,5.659655918363316,0.656224080388089,29,21,11,19,22
25,normal_volatility,chen_pct_change_equal_k11_w050,Chen FTS Percentage Change Correction Equal Intervals k=11 w050,fuzzy_time_series,equal_length,1.0,11.0,forecast_target=percentage_change;k=11;correction_weight=0.5;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,percentage_change,0.5,baseline_naive,0.02086694179847711,0.026178377269353847,5.6369772583959605,0.6489488859358482,29,22,18,18,19
